"rmax" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"1" 1.2 1.17993192085979 0.370525981325969 NA NA NA NA
"2" 1.2 1.17993192085979 0.370525981325969 NA NA NA NA
"3" 1.21 1.20392356406048 0.426606625496202 NA NA NA NA
"4" 1.22 1.22728762050494 0.482283116281479 NA NA NA NA
"5" 1.23 1.25005522911533 0.537545362835817 NA NA NA NA
"6" 1.24 1.27225528221595 0.592384856777162 NA NA NA NA
"7" 1.25 1.29391516129697 0.646798746910218 NA NA NA NA
"8" 1.26 1.31505878943254 0.700778975712952 NA NA NA NA
"9" 1.27 1.33570869672864 0.754320389593568 NA NA NA NA
"10" 1.28 1.3558856795443 0.807418345857512 NA NA NA NA
"11" 1.29 1.37560898661743 0.860068667397669 NA NA NA NA
"12" 1.3 1.39489648591112 0.912267623855384 NA NA NA NA
"13" 1.31 1.41376479055202 0.96401185393333 NA NA NA NA
"14" 1.32 1.4322293759524 1.01529831725291 NA NA NA NA
"15" 1.33 1.45030468290281 1.06612425149306 NA NA NA NA
"16" 1.34 1.46800420877517 1.11648713586324 NA NA NA NA
"17" 1.35 1.48534058861966 1.16638465729459 NA NA NA NA
"18" 1.36 1.50232566626302 1.21581467913266 NA NA NA NA
"19" 1.37 1.5189705591087 1.26477521595179 NA NA NA NA
"20" 1.38 1.5352857151591 1.31326440847757 NA NA NA NA
"21" 1.39 1.55128096507525 1.36128050424946 NA NA NA NA
"22" 1.4 1.56696556770147 1.40882183550594 NA NA NA NA
"23" 1.41 1.58234825255956 1.45588680395409 NA NA NA NA
"24" 1.42 1.59743725681595 1.50247386257357 NA NA NA NA
"25" 1.43 1.61224036025012 1.54858150353685 NA NA NA NA
"26" 1.44 1.62676491546468 1.59420824249494 NA NA NA NA
"27" 1.45 1.64101787627529 1.63935260707328 NA NA NA NA
"28" 1.46 1.65500582352142 1.68401312596079 NA NA NA NA
"29" 1.47 1.66873498779222 1.72818831670241 NA NA NA NA
"30" 1.48 1.68221127118805 1.77187667668835 NA NA NA NA
"31" 1.49 1.69544026633611 1.81507667273814 NA NA NA NA
"32" 1.5 1.70842727442963 1.85778673296542 NA NA NA NA
"33" 1.51 1.72117732128191 1.9000052371314 NA NA NA NA
"34" 1.52 1.73369517209067 1.94173050845287 NA NA NA NA
"35" 1.53 1.74598534538699 1.98296080601431 NA NA NA NA
"36" 1.54 1.75805212493788 2.02369431553396 NA NA NA NA
"37" 1.55 1.7698995718964 2.06392914334475 NA NA NA NA
"38" 1.56 1.7815315346365 2.10366330693599 NA NA NA NA
"39" 1.57 1.79295165860193 2.14289472812317 NA NA NA NA
"40" 1.58 1.80416339516896 2.18162122522119 NA NA NA NA
"41" 1.59 1.81517000952083 2.2198405052082 NA NA NA NA
"42" 1.6 1.82597458797504 2.2575501555532 NA NA NA NA
"43" 1.61 1.83658004461134 2.29474763642779 NA NA NA NA
"44" 1.62 1.84698912749872 2.33143027257693 NA NA NA NA
"45" 1.63 1.8572044239677 2.36759524456696 NA NA NA NA
"46" 1.64 1.86722836557934 2.40323957990545 NA NA NA NA
"47" 1.65 1.87706323255414 2.43836014408602 NA NA NA NA
"48" 1.66 1.88671115761955 2.47295363095746 NA NA NA NA
"49" 1.67 1.89617412948147 2.50701655271609 NA NA NA NA
"50" 1.68 1.90545399569378 2.5405452291761 NA NA NA NA
"51" 1.69 1.91455246525379 2.57353577704809 NA NA NA NA
"52" 1.7 1.92347111053733 2.60598409763608 NA NA NA NA
"53" 1.71 1.93221136904937 2.63788586498273 NA NA NA NA
"54" 1.72 1.94077454448286 2.66923651198921 NA NA NA NA
"55" 1.73 1.9491618074944 2.70003121654674 NA NA NA NA
"56" 1.74 1.9573741960222 2.73026488632299 NA NA NA NA
"57" 1.75 1.96541261510297 2.75993214244687 NA NA NA NA
"58" 1.76 1.97327783622072 2.78902730202033 NA NA NA NA
"59" 1.77 1.98097049624593 2.81754435934358 NA NA NA NA
"60" 1.78 1.98849109575203 2.84547696542929 NA NA NA NA
"61" 1.79 1.99583999695549 2.87281840634239 NA NA NA NA
"62" 1.8 2.00301742094923 2.89956157909982 NA NA NA NA
"63" 1.81 2.01002344439046 2.92569896584636 NA NA NA NA
"64" 1.82 2.01685799557432 2.95122260578873 NA NA NA NA
"65" 1.83 2.02352084976744 2.97612406441824 NA NA NA NA
"66" 1.84 2.03001162380586 3.00039440004644 NA NA NA NA
"67" 1.85 2.03630186459644 3.02389223764555 NA NA NA NA
"68" 1.86 2.04244823330409 3.04687865288807 NA NA NA NA
"69" 1.87 2.04842058471031 3.06920504074765 NA NA NA NA
"70" 1.88 2.0542175442344 3.09085844622568 NA NA NA NA
"71" 1.89 2.05983781862537 3.1118267316326 NA NA NA NA
"72" 1.9 2.06527990877812 3.13209700041943 NA NA NA NA
"73" 1.91 2.07054209009016 3.15165549507659 NA NA NA NA
"74" 1.92 2.07562239602947 3.17048752403394 NA NA NA NA
"75" 1.93 2.08051859938773 3.18857736670216 NA NA NA NA
"76" 1.93 2.08051859938773 3.18857736670216 1.16095509722711 0 1.16616531844512 0
"77" 1.93 2.08051859938773 3.18857736670216 1.16095510883135 0 1.16616670001941 0
"78" 1.935 2.08290760990426 3.19738789202951 1.16809628502876 0 1.16843727385422 0
"79" 1.94 2.08523843159061 3.20595495694895 1.17526696117187 0.0155256657076353 1.17072884327037 0
"80" 1.945 2.08752188150436 3.2143276426185 1.1824629239444 0.0323835416670646 1.17304139865267 0
"81" 1.95 2.08975761439371 3.22250376503638 1.18968475136896 0.0494203292672154 1.17537486308817 0
"82" 1.955 2.09194522960169 3.23048086541946 1.19693299045126 0.0666385449348937 1.17772908979743 0
"83" 1.96 2.09408430300029 3.23825639101895 1.20420829777684 0.0840410256241203 1.18010395457496 0
"84" 1.965 2.09617438794274 3.24582769089101 1.21151126004583 0.101630472496048 1.18249931997047 0
"85" 1.97 2.09821501337716 3.25319201714823 1.2188424066929 0.119409478735237 1.18491500953708 0
"86" 1.975 2.10020568186054 3.26034650956479 1.22620237790384 0.137380966069959 1.18735107628355 0
"87" 1.98 2.10214587137872 3.26728820504496 1.23359184452881 0.155547982439999 1.18980720374233 0
"88" 1.985 2.10403502966423 3.27401401570586 1.24101150743472 0.173913703068211 1.19228317589861 0
"89" 1.99 2.10587257714293 3.28052073475195 1.24846209596065 0.192481429099238 1.19477909697117 0
"90" 1.995 2.10765790142002 3.28680502152467 1.25594380255413 0.211252949837395 1.19729449600755 0
"91" 2 2.10939035878912 3.29286339914894 1.26345861339435 0.230235284767759 1.19982950502745 0
"92" 2.005 2.11106927100716 3.29869224541302 1.27100670815423 0.249430311570514 1.20238366878463 0
"93" 2.01 2.11269392347038 3.30428778364597 1.27858883636923 0.268841604709013 1.20495701057109 0
"94" 2.015 2.11426356262263 3.30964607112529 1.2862067972607 0.288475811194371 1.20754922783894 0
"95" 2.02 2.11577739585272 3.31476299791081 1.29385959734392 0.308331469616981 1.210160199652 0
"96" 2.025 2.11723458582416 3.31963426370704 1.30154954168873 0.328416990908119 1.21278968151006 0
"97" 2.03 2.11863425123898 3.32425537936359 1.30927823554245 0.348738500993786 1.21543751243713 0
"98" 2.035 2.11997546162099 3.32862164417596 1.31704545211902 0.369297174204278 1.2181034040085 0
"99" 2.04 2.12125723448206 3.33272813546251 1.3248526471581 0.390098976644471 1.2207873469208 0
"100" 2.045 2.12247853346577 3.33656969819362 1.33270090130677 0.411148905002117 1.22348895144825 0
"101" 2.05 2.12363826297717 3.34014092330365 1.34059280168352 0.432456330317619 1.22620803857808 0
"102" 2.055 2.12473526612128 3.34343613671385 1.3485277629953 0.454021698375786 1.22894442821927 0
"103" 2.06 2.1257683178633 3.34644937180164 1.35650781789584 0.475853006897037 1.23169790138297 0
"104" 2.065 2.12673612238072 3.34917435625556 1.36453475975867 0.497957675902311 1.23446824937123 0
"105" 2.07 2.12763730636851 3.35160448453321 1.37260939054926 0.520340394238499 1.23725521454564 0
"106" 2.075 2.12847041484482 3.35373279770084 1.3807334159029 0.543008582532732 1.24005856978839 0
"107" 2.08 2.12923390357332 3.35555195305655 1.38890977313922 0.565973401078492 1.24287811575809 0
"108" 2.085 2.12992613194682 3.35705419174086 1.3971382808191 0.58923698276063 1.24571361148897 0
"109" 2.09 2.13054535662859 3.35823131123838 1.40542233690001 0.612812157361699 1.24856482978353 0
"110" 2.095 2.13108972170084 3.35907462407486 1.41376283007999 0.636704482364138 1.25143154170278 0
"111" 2.1 2.13155724956696 3.35957491765749 1.42216257500709 0.660925395851303 1.2543135149824 0
"112" 2.105 2.1319458306029 3.35972241025964 1.43062298631631 0.685482338066156 1.25721050785524 0
"113" 2.11 2.13225321096802 3.35950669844917 1.43914776989966 0.710389851514444 1.26012228154517 0
"114" 2.115 2.13247697965706 3.35891670160499 1.4477378400735 0.73565420108183 1.26304859547184 0
"115" 2.12 2.13261455341475 3.35794059706629 1.45639737448963 0.761291838334625 1.26598933286648 0
"116" 2.125 2.132663160194 3.3565657494445 1.46512737345156 0.78730965627218 1.26894412683493 0
"117" 2.13 2.13261982007415 3.35477862900381 1.47393388478731 0.813730513489821 1.27191277871497 0
"118" 2.135 2.13248132366936 3.35256471901295 1.4828176297904 0.840560855682374 1.27489507002953 0
"119" 2.14 2.13224420787866 3.34990841255283 1.49178269818396 0.867818029912932 1.277890740467 0
"120" 2.145 2.13190472839523 3.34679289470478 1.50083354064605 0.895520812415101 1.28089956693861 0
"121" 2.15 2.13145882698441 3.34320000353098 1.50997410388851 0.92368678947875 1.28392132854673 0
"122" 2.155 2.130902094443 3.33911007169273 1.5192083136053 0.952333804051198 1.28695584373023 0
"123" 2.16 2.13022972886159 3.33450174966904 1.52854207372075 0.981486526036959 1.29000332234133 0
"124" 2.165 2.12943648550859 3.32935179087019 1.53798017136157 1.01116644158749 1.29306253978958 0
"125" 2.17 2.12851661805604 3.32363480402855 1.5475283882944 1.04139885479033 1.29613382348516 0
"126" 2.175 2.12746381187677 3.31732296825592 1.5571918802764 1.0722074651812 1.29921688702344 0
"127" 2.18 2.12627110083496 3.31038568092158 1.56698112418345 1.10363426844683 1.30231152253957 0
"128" 2.185 2.12493077452727 3.30278916319067 1.57690083198639 1.13570284250749 1.30541749356854 0
"129" 2.19 2.12343425870867 3.29449595582054 1.58696194985423 1.16845835805441 1.30853462229111 0
"130" 2.195 2.12177197948401 3.285464341385 1.59717192522411 1.20193510664096 1.31166264057921 0
"131" 2.2 2.11993319238824 3.27564762519038 1.60754279528243 1.23618394648478 1.31480134119003 0
"132" 2.205 2.11790577376225 3.26499324966011 1.61808627672643 1.27125571920323 1.31795053749536 0
"133" 2.21 2.11567595560121 3.25344167792592 1.62881671897383 1.30721183844185 1.32110998848794 0
"134" 2.215 2.11322801194164 3.24092506720344 1.63975001843711 1.34412039065948 1.32427948118985 0
"135" 2.22 2.11054382989608 3.22736546898717 1.65090411004169 1.38205851448571 1.32745882597995 0
"136" 2.225 2.10760238929713 3.212672625186 1.66230049312476 1.42111794182606 1.33064779215366 0
"137" 2.23 2.10437905190888 3.19674098780865 1.67396260643032 1.46139970715906 1.33384620946801 0
"138" 2.235 2.10084120386986 3.17945183723058 1.6859199625063 1.50302942568147 1.33705386349945 0
"139" 2.24 2.09695863953537 3.16063809365961 1.69821483514141 1.5461823973928 1.34027054241029 0
"140" 2.245 2.09268652501403 3.14012709721792 1.71087857486426 1.59099919828593 1.34349607165365 0
"141" 2.25 2.08797179928262 3.11769366067713 1.72397110454158 1.63772949082098 1.34673021084741 0
"142" 2.255 2.08274740200189 3.0930537959653 1.73755894027535 1.6866551194823 1.34997276736863 0
"143" 2.26 2.07692647753655 3.06584046727606 1.75172869355962 1.73814196290171 1.35322361426033 0
"144" 2.265 2.07039306799267 3.03556469010539 1.76659335890025 1.79266763152754 1.35648253450237 0
"145" 2.27 2.06298628114137 3.00154941442144 1.78231080652835 1.85089698441796 1.35974930318369 0
"146" 2.275 2.05447127856401 2.96280847385495 1.79913222946226 1.9138784161066 1.36302378296068 0
"147" 2.28 2.04448052541137 2.91780167067869 1.81738745593792 1.98300510581319 1.36630575970973 0
"148" 2.285 2.03237656174871 2.86386322299347 1.8377600840634 2.06112045232643 1.36959505628982 0
"149" 2.29 2.01685064016409 2.79553166396282 1.8615971457246 2.15385232307123 1.37289152284605 0
