"a" "alphahi" "gammahi" "sigmavar"
"1" -1.6 2.06976999147389 3.26674579888447 0.00537072012364258
"2" -1.4 2.07430947919501 3.26993371918604 0.0102763801458049
"3" -1.39 2.0746204119701 3.27014886705967 0.0106147904472559
"4" -1.38 2.07494132989259 3.27037059314371 0.0109642925453868
"5" -1.37 2.07527251174508 3.27059916998953 0.011325246261715
"6" -1.36 2.07561427525966 3.27083479388719 0.0116980242414948
"7" -1.35 2.07596694760343 3.27107766626965 0.0120830111583287
"8" -1.34 2.07633086529792 3.27132799290174 0.0124806041159167
"9" -1.33 2.07670637458274 3.27158598431708 0.012891213043318
"10" -1.32 2.07709383184281 3.27185185655418 0.0133152610972566
"11" -1.31 2.07749360346752 3.27212582968874 0.0137531851160388
"12" -1.3 2.07790606647841 3.27240812935742 0.0142054360364307
"13" -1.29 2.07833160852184 3.27269898574661 0.014672479369286
"14" -1.28 2.07877062833895 3.27299863426209 0.0151547956607067
"15" -1.27 2.07922353592359 3.2733073155625 0.0156528809799191
"16" -1.26 2.07969075276994 3.27362527489058 0.0161672474378372
"17" -1.25 2.08017271222122 3.27395276263106 0.0166984236991167
"18" -1.24 2.08066985972633 3.2742900346234 0.0172469555155576
"19" -1.23 2.08118265309992 3.27463735122686 0.0178134063042498
"20" -1.22 2.08171156270271 3.27499497751831 0.01839835772232
"21" -1.21 2.08225707227969 3.27536318515246 0.0190024102227033
"22" -1.2 2.08281967837013 3.27574224911261 0.0196261837446279
"23" -1.19 2.08339989132542 3.27613245002763 0.0202703183020122
"24" -1.18 2.08399823541439 3.27653407352585 0.0209354746594132
"25" -1.17 2.08461524898442 3.27694740964637 0.0216223350317084
"26" -1.16 2.08525148486866 3.27737275334596 0.0223316037814152
"27" -1.15 2.0859075108342 3.27781040437987 0.0230640081556438
"28" -1.14 2.08658390974889 3.27826066684329 0.0238202990584909
"29" -1.13 2.08728128002694 3.27872384990052 0.0246012518189928
"30" -1.12 2.08800023575805 3.27920026595319 0.0254076670570156
"31" -1.11 2.08874140734153 3.27969023272143 0.0262403714714319
"32" -1.1 2.08950544150427 3.28019407093299 0.0271002187810854
"33" -1.09 2.09029300189773 3.28071210590869 0.0279880905877312
"34" -1.08 2.09110476944362 3.28124466628524 0.02890489735447
"35" -1.07 2.09194144233299 3.28179208389523 0.0298515793866442
"36" -1.06 2.09280373694376 3.28235469460068 0.0308291078176003
"37" -1.05 2.09369238780469 3.28293283641798 0.0318384857181937
"38" -1.04 2.09460814783307 3.28352684976315 0.0328807491806662
"39" -1.03 2.09555178942608 3.28413707891665 0.0339569683989378
"40" -1.02 2.09652410374005 3.28476386802208 0.0350682489792399
"41" -1.01 2.09752590226951 3.28540756550921 0.0362157330051944
"42" -1 2.09855842443282 3.28606765188975 0.0374006329132843
"43" -1 2.09855842443282 3.28606765188975 0.0374006329132843
"44" -0.99 2.09962129727305 3.28674707613174 0.0386240706316419
"45" -0.98 2.10071661781484 3.28744359096197 0.0398874030030934
"46" -0.97 2.10184487239969 3.28815840984915 0.0411918994374596
"47" -0.96 2.10300697646879 3.28889188333357 0.0425389050859565
"48" -0.95 2.10420386761242 3.28964435954025 0.043929810197823
"49" -0.94 2.10543650605712 3.29041618576698 0.0453660516518059
"50" -0.93 2.10670587509083 3.29120770788931 0.0468491146352221
"51" -0.92 2.10801298089983 3.29201926739201 0.0483805344954973
"52" -0.91 2.10935885364918 3.29285120360281 0.0499618984384409
"53" -0.9 2.11074454758893 3.29370385155089 0.051594847486368
"54" -0.89 2.11217114147158 3.29457754134565 0.0532810784488571
"55" -0.88 2.11363973949876 3.29547259902418 0.0550223459016807
"56" -0.87 2.115151470612 3.29638934261146 0.0568204644760865
"57" -0.86 2.11670749019864 3.29732808393569 0.0586773109639247
"58" -0.85 2.11830897985395 3.29828912721449 0.0605948266639704
"59" -0.84 2.11995714784102 3.29927276718461 0.062575019850622
"60" -0.83 2.12165322987253 3.30027928911665 0.0646199682469655
"61" -0.82 2.12339848933249 3.30130896762422 0.0667318216614271
"62" -0.81 2.12519421796564 3.30236206602689 0.068912804703119
"63" -0.8 2.1270417358193 3.30343883336686 0.0711652197412111
"64" -0.79 2.12894239267854 3.30453950713776 0.0734914496635253
"65" -0.78 2.13089756767145 3.30566430631535 0.0758939613064179
"66" -0.77 2.13290867005979 3.30681343601466 0.0783753083511941
"67" -0.76 2.1349771400633 3.30798708400651 0.0809381348149967
"68" -0.75 2.13710444902364 3.30918541750652 0.083585178679649
"69" -0.74 2.13929209984529 3.31040858351976 0.0863192754526105
"70" -0.73 2.14154162831046 3.31165670959169 0.0891433618413774
"71" -0.72 2.14385460217396 3.31292989695946 0.0920604800741038
"72" -0.71 2.14623262334761 3.31422822451715 0.0950737816939986
"73" -0.7 2.14867732716215 3.31555174420223 0.0981865320748247
"74" -0.69 2.15119038355214 3.31690047953868 0.101402114916112
"75" -0.68 2.15377349772044 3.31827442521177 0.104724036849131
"76" -0.67 2.15642841055602 3.3196735459772 0.108155932274371
"77" -0.66 2.15915689894752 3.32109776966514 0.111701568829473
"78" -0.65 2.16196077644134 3.32254699337907 0.115364852114696
"79" -0.64 2.16484189445399 3.32402107559859 0.119149831647638
"80" -0.63 2.16780214211773 3.32551983590155 0.123060706495864
"81" -0.62 2.17084759950733 3.32703672983137 0.12710232954717
"82" -0.61 2.17397217295164 3.32858383352166 0.131278253167396
"83" -0.6 2.17718179103572 3.33015481098488 0.135593629239255
"84" -0.59 2.1804785017117 3.33174930703503 0.140053317281142
