"cup" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo" "eqhiS" "eqhiI" "eqloS" "eqloI"
"1" 0 2.10938949979896 3.29285520126535 1.26345917764568 0.230236931541729 1.19983351994362 0 0.943736206638469 0.461869730278582 0.403328501753752 1.61187723775206
"2" 0 2.10938949979896 3.29285520126535 1.26345917764568 0.230236931541729 1.19982930858749 0 NA NA 0.403328501753752 1.61187723775206
"3" 1e-04 2.10857429765214 3.28938390713821 1.26396857503507 0.232006460789111 1.19982930890448 0 NA NA 0.403328501753752 1.61187723775206
"4" 2e-04 2.10775645611296 3.28589894466281 1.26447912576867 0.23377878987165 1.19982930890446 0 NA NA 0.403328501753752 1.61187723775206
"5" 3e-04 2.10693796175781 3.28241245882739 1.26498887742954 0.235547932434833 1.19982930890445 0 NA NA 0.403328501753752 1.61187723775206
"6" 4e-04 2.1061188077196 3.27892441563537 1.26550210642107 0.237327592675978 1.19982930890447 0 NA NA 0.403328501753752 1.61187723775206
"7" 5e-04 2.10529899052306 3.27543480289984 1.26601457786194 0.239104186798491 1.19982930890448 0 NA NA 0.403328501753752 1.61187723775206
"8" 6e-04 2.10447850660176 3.2719436089545 1.26652711558799 0.240879944594242 1.19982930890446 0 NA NA 0.403328501753752 1.61187723775206
"9" 7e-04 2.10365735166722 3.26845081761525 1.26704259083868 0.242664782310832 1.19982930890447 0 NA NA 0.403328501753752 1.61187723775206
"10" 8e-04 2.10283552219884 3.26495641727784 1.26755735617579 0.244446690530223 1.19982930890445 0 NA NA 0.403328501753752 1.61187723775206
"11" 9e-04 2.10201301458534 3.26146039568496 1.26807333456195 0.246231594488097 1.19982930890446 0 NA NA 0.403328501753752 1.61187723775206
"12" 0.001 2.10118982447263 3.25796273672012 1.26858850038876 0.248013294864327 1.19982930890446 0 NA NA 0.403328501753752 1.61187723775206
"13" 0.0011 2.10036594826597 3.25446342804842 1.26910729283351 0.24980596939459 1.19982930890446 0 NA NA 0.403328501753752 1.61187723775206
