"mu" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"1" 0.5 3.32448198004023 10.3325101990023 1.73860783415434 1.94329641019533 1.46508542167036 0
"2" 0.5 3.32448198004023 10.3325101990023 1.73860783415434 1.94329641019533 1.46508522188981 0
"3" 0.5005 3.32275947647024 10.3207690520601 1.73816054222704 1.94149929051858 1.46473465722424 0
"4" 0.501 3.32099423937616 10.3085828060547 1.73771214136225 1.93969838379953 1.46438416232587 0
"5" 0.5015 3.31923096221804 10.2964163306416 1.7372635209122 1.93789699362014 1.46403373468464 0
"6" 0.502 3.31746950866576 10.2842682334592 1.73681488424241 1.93609585510413 1.46368337845344 0
"7" 0.5025 3.31570987268796 10.2721384547894 1.73636584259558 1.93429356160645 1.46333308620749 0
"8" 0.503 3.31395205192569 10.2600269620378 1.73591731506246 1.93249343890191 1.46298290698857 0
"9" 0.5035 3.31219604340219 10.2479337143975 1.73546862693866 1.93069304501955 1.4626327769735 0
"10" 0.504 3.3104418428128 10.2358586662691 1.73501981133958 1.92889250077771 1.46228272377177 0
"11" 0.5045 3.30868944724847 10.223801777574 1.7345709280107 1.92709202258015 1.46193275123515 0
"12" 0.505 3.30693885088191 10.2117629915821 1.73412225776367 1.92529262544335 1.46158284615288 0
"13" 0.5055 3.30519005073648 10.1997422685376 1.73367189787553 1.92348743397181 1.46123301558622 0
"14" 0.506 3.30344304476634 10.1877395770865 1.73322353676694 1.92168977725312 1.46088325725046 0
"15" 0.5065 3.30169782820289 10.1757548666324 1.73277475217414 1.91989089917533 1.4605335715336 0
"16" 0.507 3.29995439669968 10.163788089737 1.73232568081148 1.91809129703869 1.46018395567153 0
"17" 0.5075 3.29821274677169 10.1518392035559 1.73187655035064 1.91629179302899 1.45983440757592 0
"18" 0.508 3.29647287748113 10.1399081858294 1.73142726588714 1.91449204496196 1.459484974951 0
"19" 0.5085 3.2947347807742 10.1279949612401 1.73097802553495 1.91269276797499 1.45913559718655 0
"20" 0.509 3.29299845673813 10.1160995143607 1.73052884648618 1.91089402362645 1.45878630712078 0
"21" 0.5095 3.29126389978601 10.1042217893809 1.73007877877021 1.90909238629637 1.45843708174326 0
"22" 0.51 3.28953110504976 10.0923617349928 1.72962964574178 1.90729443308087 1.45808793215937 0
"23" 0.5105 3.28780007357325 10.0805193403186 1.72918029490914 1.90549600534404 1.45773886441238 0
"24" 0.511 3.28607079714367 10.0686945331036 1.72873080153543 1.9036973761983 1.4573898680661 0
"25" 0.5115 3.28434327502643 10.0568872894103 1.728281205432 1.90189868964554 1.45704094641963 0
"26" 0.512 3.28261750158923 10.0450975551007 1.72783153083554 1.90010003274142 1.45669209825784 0
